"Order Number ","Reason"," Cancelled By ","Note"," Subtotal Price"," Shipping Cost"," Total Price ","Cancelled Date","Order Date"
"Lvs42899","INVENTORY","Randa","طلب العميلة بالالغاء","410","50","460","2024-12-14 15:29:49","2024-12-13 19:59:32"
"Lvs42817","INVENTORY","Randa","طلب العميلة بالالغاء","2650","90","2740","2024-12-14 15:24:35","2024-12-12 18:12:18"
"Lvs42795","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بدايل","527","50","577","2024-12-14 15:23:19","2024-12-12 16:56:58"
"Lvs42758","REPEATED_ORDER","Nermin ","ملغي مكرر","527","50","577","2024-12-14 15:21:08","2024-12-12 14:25:22"
"Lvs43006","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بديل","527","50","577","2024-12-14 15:19:47","2024-12-13 21:24:56"
"Lvs43070","INVENTORY","Randa","طلب العميلة بالالغاء","675","50","725","2024-12-14 15:18:20","2024-12-14 10:02:43"
"Lvs42951","INVENTORY","Randa","طلب العميلة بالالغاء","510","50","560","2024-12-14 15:17:15","2024-12-13 19:59:38"
"Lvs42848","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بديل","580","50","630","2024-12-14 15:00:48","2024-12-13 19:59:24"
"Lvs43069","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ومش عايزة بديل","527","60","587","2024-12-14 14:32:55","2024-12-14 10:02:43"
"Lvs42841","INVENTORY","Randa","طلب العميلة بالالغاء","580","50","630","2024-12-14 14:04:16","2024-12-13 19:59:24"
"Lvs43014","INVENTORY","Randa","طلب العميلة بالالغاء","527","50","577","2024-12-14 13:51:24","2024-12-13 21:24:56"
"Lvs42804","INVENTORY","Randa","طلب العميلة بالالغاء","1581","50","1631","2024-12-14 13:50:12","2024-12-12 18:12:18"
"Lvs43060","INVENTORY","Randa","طلب العميلة بالالغاء","1221","50","1271","2024-12-14 13:29:32","2024-12-14 10:02:43"
"Lvs42897","INVENTORY","Randa","طلب العميلة بالالغاء","468","50","518","2024-12-14 13:19:03","2024-12-13 19:59:32"
"Lvs42762","BROUGHT_FROM_STORE","Nermin ","ملغي اشترت من الفرع","2377","60","2437","2024-12-14 13:14:08","2024-12-12 16:54:57"
"Lvs43011","INVENTORY","Randa","طلب العميلة بالالغاء","360","50","410","2024-12-14 13:06:55","2024-12-13 21:24:56"
"Lvs42941","OTHER","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بديل","580","50","630","2024-12-14 13:02:26","2024-12-13 19:59:38"
"Lvs43016","INVENTORY","Randa","طلب العميلة بالالغاء","240","50","290","2024-12-14 13:01:44","2024-12-13 21:24:56"
"Lvs43026","INVENTORY","Randa","طلب العميلة بالالغاء","240","50","290","2024-12-14 12:54:50","2024-12-14 10:02:36"
"Lvs42976","CUSTOMER_REQUEST","Samar Hamdy","ملغي برغبة العميله","270","60","330","2024-12-14 12:52:55","2024-12-13 19:59:38"
"Lvs43020","INVENTORY","Randa","طلب العميلة بالالغاء","120","50","170","2024-12-14 12:45:53","2024-12-14 10:02:36"
"Lvs42824","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بدايل","580","60","640","2024-12-14 12:44:44","2024-12-13 19:59:18"
"Lvs42838","INVENTORY","Randa","طلب العميلة بالالغاء","580","50","630","2024-12-14 12:34:08","2024-12-13 19:59:24"
"Lvs43031","INVENTORY","Randa","طلب العميلة بالالغاء","527","50","577","2024-12-14 12:26:19","2024-12-14 10:02:36"
"Lvs42831","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بديل","580","95","675","2024-12-14 12:23:37","2024-12-13 19:59:18"
"Lvs42953","OTHER","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بدايل","357","50","407","2024-12-14 12:15:27","2024-12-13 19:59:38"
